Name	C_inv	C_maint	C_op
NUCLEAR	782.700913	439.680000	0.000000
CCGT	169.699111	73.745000	0.000000
CCGT_CCS	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
COAL_US_CCS	0.000000	0.000000	0.000000
COAL_IGCC_CCS	0.000000	0.000000	0.000000
PV	0.035993	0.009719	0.000000
WIND	1.808663	0.412200	0.000000
HYDRO_DAM	0.000000	0.000000	0.000000
NEW_HYDRO_DAM	0.000000	0.000000	0.000000
HYDRO_RIVER	0.000000	0.000000	0.000000
NEW_HYDRO_RIVER	0.000000	0.000000	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	1.768651	1.978000	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	5.685883	1.474200	0.000000
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	11.015875	2.851140	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	18.989620	11.234370	0.000000
DHN_COGEN_GAS	0.000000	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_BOILER_GAS	3.644797	0.945000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	8.691226	2.419200	0.000000
DHN_DEEP_GEO	25.406475	17.975880	0.000000
DEC_HP_ELEC	0.000000	0.000000	0.000000
DEC_THHP_GAS	99.958874	43.724436	0.000000
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	198.028813	76.896163	0.000000
DEC_BOILER_WOOD	0.000000	0.000000	0.000000
DEC_BOILER_OIL	25.407443	19.721453	0.000000
DEC_SOLAR	0.000000	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	0.000000	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000	0.000000
TRUCK	0.000000	0.000000	0.000000
PUMPED_HYDRO	0.000000	0.000000	0.000000
POWER2GAS	0.000000	0.000000	0.000000
EFFICIENCY	1856.000000	0.000000	0.000000
DHN	128.263712	0.000000	0.000000
GRID	2134.309322	0.000000	0.000000
POWER2GAS_1	0.000000	0.000000	0.000000
POWER2GAS_2	0.000000	0.000000	0.000000
POWER2GAS_3	0.000000	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000	0.000000
H2_NG	14.880606	23.931555	0.000000
H2_BIOMASS	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000000
PYROLYSIS	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	0.000000
GASOLINE	0.000000	0.000000	552.264981
DIESEL	0.000000	0.000000	1179.505315
BIOETHANOL	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	384.907382
LNG	0.000000	0.000000	0.000000
NG	0.000000	0.000000	3986.467076
NG_CCS	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000
COAL_CCS	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	329.650308
WASTE	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
