Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	1236.379239	537.285000	0.000000
CCGT_CCS	0.000000	0.000000	0.000000
COAL_US	1483.909206	364.780000	0.000000
COAL_IGCC	1747.388162	548.835000	0.000000
COAL_US_CCS	0.000000	0.000000	0.000000
COAL_IGCC_CCS	0.000000	0.000000	0.000000
PV	1153.603670	311.486232	0.000000
WIND	1275.408894	290.669700	0.000000
HYDRO_DAM	5240.907573	585.153600	0.000000
NEW_HYDRO_DAM	0.000000	0.000000	0.000000
HYDRO_RIVER	2750.180887	614.118000	0.000000
NEW_HYDRO_RIVER	0.000000	0.000000	0.000000
GEOTHERMAL	697.465054	539.446400	0.000000
IND_COGEN_GAS	0.000000	0.000000	0.000000
IND_COGEN_WOOD	157.481594	100.316800	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	4.568145	1.184400	0.000000
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	11.015875	2.851140	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	16.456227	9.735600	0.000000
DHN_COGEN_GAS	20.485164	10.420800	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_BOILER_GAS	3.158824	0.819000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	7.514290	2.091600	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DEC_HP_ELEC	0.000000	0.000000	0.000000
DEC_THHP_GAS	101.710576	44.490673	0.000000
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	201.499051	78.243684	0.000000
DEC_BOILER_WOOD	0.000000	0.000000	0.000000
DEC_BOILER_OIL	25.852629	20.067010	0.000000
DEC_SOLAR	0.000000	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	0.000000	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000	0.000000
TRUCK	0.000000	0.000000	0.000000
PUMPED_HYDRO	0.000000	0.000000	0.000000
POWER2GAS	0.000000	0.000000	0.000000
EFFICIENCY	1856.000000	0.000000	0.000000
DHN	111.055164	0.000000	0.000000
GRID	2179.769209	0.000000	0.000000
POWER2GAS_1	0.000000	0.000000	0.000000
POWER2GAS_2	0.000000	0.000000	0.000000
POWER2GAS_3	0.000000	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000	0.000000
H2_NG	14.880606	23.931555	0.000000
H2_BIOMASS	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000000
PYROLYSIS	95.917022	81.539903	0.000000
ELECTRICITY	0.000000	0.000000	0.000000
GASOLINE	0.000000	0.000000	552.264981
DIESEL	0.000000	0.000000	1079.828809
BIOETHANOL	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	69.323831
LNG	0.000000	0.000000	0.000000
NG	0.000000	0.000000	7930.623389
NG_CCS	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	221.022000
COAL	0.000000	0.000000	1874.508704
COAL_CCS	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
